n,start
al01,0
al02,-10
al047a,-12
al047b,-12
al098a,-5
al098b,-8
al148a,-12
al148b,-8
al198a,-7
al198b,-3
Al398a,-4
Al398b,-5
Alth01,13
Alth02,17
Alth047a,3
Alth047b,-8
Alth098a,-10
Alth098b,-7
Alth148a,-6
Alth148b,-6
Alth198a,-7
Alth198b,-8
Alth398a,-5
Alth398b,-5
Br01,-7
Br02,-11
Br047a,10
Br047b,5
Br098a,5
Br098b,-4
Br148a,-13
Br148b,-10
Br198a,-20
Br198b,-21
Br398a,-15
Br398b,-19
St01,4
St02,1
St047a,-25
St047b,-20
St098a,-25
St098b,-20
St148a,19
St148b,27
St198a,-21
St198b,24
St398a,7
St398b,5
